         88806525 function calls (86741999 primitive calls) in 61.441 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    99533    0.024    0.000    0.140    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:2783(_is_multi)
   497863    0.138    0.000    0.138    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:2433(_using_copy_on_write)
   132703    0.137    0.000    0.137    0.000 {method 'astype' of 'numpy.ndarray' objects}
    66302    0.060    0.000    0.132    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1009(is_datetime_or_timedelta_dtype)
    33378    0.046    0.000    0.132    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:5959(_protect_consolidate)
    99500    0.052    0.000    0.130    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/base.py:46(__len__)
    66302    0.095    0.000    0.126    0.000 /usr/lib/python3/dist-packages/numpy/core/shape_base.py:23(atleast_1d)
    33184    0.058    0.000    0.124    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/base.py:54(shape)
    33177    0.044    0.000    0.123    0.000 /usr/lib/python3/dist-packages/pandas/core/algorithms.py:1484(take)
    66524    0.054    0.000    0.122    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:445(_validate_dtype)
   359359    0.122    0.000    0.122    0.000 {method 'split' of 'str' objects}
   166087    0.085    0.000    0.119    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1154(needs_i8_conversion)
   298858    0.084    0.000    0.119    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1420(is_1d_only_ea_dtype)
   132810    0.087    0.000    0.117    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/base.py:494(find)
    66329    0.045    0.000    0.117    0.000 /usr/lib/python3.11/typing.py:1284(__instancecheck__)
   232444    0.087    0.000    0.115    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:713(_sanitize_str_dtypes)
    66473    0.083    0.000    0.108    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
   132610    0.068    0.000    0.102    0.000 /usr/lib/python3/dist-packages/numpy/core/numerictypes.py:282(issubclass_)
    66302    0.065    0.000    0.100    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:165(_can_hold_na)
    66406    0.094    0.000    0.100    0.000 /usr/lib/python3/dist-packages/numpy/core/_ufunc_config.py:132(geterr)
   465173    0.099    0.000    0.099    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:146(classes)
   127002    0.039    0.000    0.096    0.000 /usr/lib/python3/dist-packages/pandas/core/strings/object_array.py:340(<lambda>)
   132887    0.069    0.000    0.096    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:156(<lambda>)
    66329    0.060    0.000    0.094    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:3754(get_loc)
   232351    0.094    0.000    0.094    0.000 /usr/lib/python3/dist-packages/pandas/_config/config.py:579(_select_options)
   133086    0.085    0.000    0.085    0.000 {built-in method numpy.empty}
    66302    0.032    0.000    0.083    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:196(external_values)
   365181    0.082    0.000    0.082    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:2009(_block)
    66350    0.081    0.000    0.081    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:236(make_block_same_class)
    66302    0.081    0.000    0.081    0.000 {method 'repeat' of 'numpy.ndarray' objects}
   199104    0.058    0.000    0.079    0.000 /usr/lib/python3/dist-packages/pandas/core/common.py:362(apply_if_callable)
    33172    0.023    0.000    0.078    0.000 /usr/lib/python3/dist-packages/pandas/core/ops/common.py:77(get_op_result_name)
    33177    0.064    0.000    0.078    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:1061(from_blocks)
    33172    0.077    0.000    0.077    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
   133348    0.033    0.000    0.076    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/inference.py:292(<genexpr>)
    66509    0.050    0.000    0.072    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:2250(extend_blocks)
    66329    0.049    0.000    0.072    0.000 /usr/lib/python3.11/typing.py:1547(__subclasscheck__)
   332047    0.072    0.000    0.072    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:332(attrs)
   132635    0.072    0.000    0.072    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:537(is_string_or_object_np_dtype)
    33378    0.026    0.000    0.071    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:5977(f)
   664094    0.070    0.000    0.070    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:353(flags)
    33182    0.070    0.000    0.070    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
   298715    0.068    0.000    0.068    0.000 {pandas._libs.lib.is_scalar}
    66302    0.058    0.000    0.066    0.000 /usr/lib/python3/dist-packages/pandas/util/_validators.py:49(_check_for_default_values)
    99551    0.026    0.000    0.065    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/base.py:56(<genexpr>)
   166045    0.065    0.000    0.065    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:870(_reset_identity)
